City,Street,Lat,Long,Region,Partner,Bonus,Materials
Калининград,"Калининградская область, г Калининград, ул Пролетарская, 31","54,713801","20,512817",Калининградская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Калуга,"Калужская область, г Калуга, ул Тульская, 67","54,509","36,2808",Калужская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Красноярск,"Красноярский край, г Красноярск, ул Даурская, 16Г 1","55,982376","93,013733",Красноярский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Красноярск,"Красноярский край, г Красноярск, ул Софьи Ковалевской, 1","56,007016","92,774002",Красноярский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Липецк,"Липецкая область, г Липецк, ул Филипченко, 10 2","52,60277","39,5449",Липецкая область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, пер Юрьевский, 22","55,762171","37,717772",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, пр-кт Мичуринский, 31","55,695216","37,494553",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Академика Анохина, 6 к.6","55,67","37,4689",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Годовикова, 11","55,5411","37,3214",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Красноказарменная, 8","55,7584","37,6955",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Новоорловская, 4","55,638487","37,365973",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Серпуховская Б., 48","55,722817","37,62655",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Шаболовка, 37","55,718069","37,608808",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ш Дмитровское, 71","55,856281","37,561009",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Нижний Новгород,"Нижегородская область, г Нижний Новгород, ул Белинского, 124","56,31945","44,02692",Нижегородская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Нижний Новгород,"Нижегородская область, г Нижний Новгород, ул Ногина, 22","56,3584","43,8456",Нижегородская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Новосибирск,"Новосибирская область, г Новосибирск, ул Лазурная, 27 2","55,0339","83,0181",Новосибирская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Омск,"Омская область, г Омск, ул Дианова, 4","54,9942","73,2642",Омская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Оренбург,"Оренбургская область, г Оренбург, ул Салмышская, 24","51,8361","55,1492",Оренбургская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Пермь,"Пермский край, г Пермь, ул Маршала Рыбалко, 30","58,003904","55,949614",Пермский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Ростов-на-Дону,"Ростовская область, г Ростов-на-Дону, ул 1-я Краснодарская, 9","47,1234","39,3935",Ростовская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Ростов-на-Дону,"Ростовская область, г Ростов-на-Дону, ул Пушкинская, 16","47,222201","39,701106",Ростовская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Рязань,"Рязанская область, г Рязань, ш Касимовское, 13","54,623391","39,780139",Рязанская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Самара,"Самарская область, г Самара, ул Рабочая, 50","53,193097","50,111831",Самарская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Санкт-Петербург,"Санкт-Петербург, г Санкт-Петербург, пр-кт Большевиков, 7 к 4","59,9156","30,4739",Санкт-Петербург,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Санкт-Петербург,"Санкт-Петербург, г Санкт-Петербург, пр-кт Малоохтинский, 80-2","59,9287","30,4053",Санкт-Петербург,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
